store_id,item_id,date,algorithm,forecast
STORE_01,ITEM_001,2025-01-01,Weighted Snaive,34.08042895442359
STORE_01,ITEM_001,2025-01-02,Weighted Snaive,29.277033065236814
STORE_01,ITEM_001,2025-01-03,Weighted Snaive,30.277033065236818
STORE_01,ITEM_001,2025-01-04,Weighted Snaive,30.317247542448612
STORE_01,ITEM_001,2025-01-05,Weighted Snaive,28.44950848972297
STORE_01,ITEM_001,2025-01-06,Weighted Snaive,36.12421805183199
STORE_01,ITEM_001,2025-01-07,Weighted Snaive,32.771224307417334
STORE_01,ITEM_001,2025-01-08,Weighted Snaive,30.795352993744412
STORE_01,ITEM_001,2025-01-09,Weighted Snaive,30.943699731903486
STORE_01,ITEM_001,2025-01-10,Weighted Snaive,28.413762287756924
STORE_01,ITEM_001,2025-01-11,Weighted Snaive,23.903485254691688
STORE_01,ITEM_001,2025-01-12,Weighted Snaive,34.132260947274354
STORE_01,ITEM_001,2025-01-13,Weighted Snaive,33.90348525469169
STORE_01,ITEM_001,2025-01-14,Weighted Snaive,41.89544235924933
STORE_01,ITEM_001,2025-01-15,Weighted Snaive,32.25290437890974
STORE_01,ITEM_001,2025-01-16,Weighted Snaive,39.51385165326184
STORE_01,ITEM_001,2025-01-17,Weighted Snaive,32.64253798033959
STORE_01,ITEM_001,2025-01-18,Weighted Snaive,33.088471849865954
STORE_01,ITEM_001,2025-01-19,Weighted Snaive,32.93565683646112
STORE_01,ITEM_001,2025-01-20,Weighted Snaive,39.87131367292225
STORE_01,ITEM_001,2025-01-21,Weighted Snaive,34.31724754244862
STORE_01,ITEM_001,2025-01-22,Weighted Snaive,46.6988382484361
STORE_01,ITEM_001,2025-01-23,Weighted Snaive,34.32529043789098
STORE_01,ITEM_001,2025-01-24,Weighted Snaive,35.60232350312779
STORE_01,ITEM_001,2025-01-25,Weighted Snaive,34.911528150134046
STORE_01,ITEM_001,2025-01-26,Weighted Snaive,46.25290437890974
STORE_01,ITEM_001,2025-01-27,Weighted Snaive,43.546023235031285
STORE_01,ITEM_001,2025-01-28,Weighted Snaive,46.41376228775692
STORE_01,ITEM_001,2025-01-29,Weighted Snaive,35.7792672028597
STORE_01,ITEM_001,2025-01-30,Weighted Snaive,37.64253798033959
STORE_01,ITEM_001,2025-01-31,Weighted Snaive,34.60232350312779
STORE_01,ITEM_001,2025-02-01,Weighted Snaive,39.87131367292225
STORE_01,ITEM_001,2025-02-02,Weighted Snaive,36.88739946380697
STORE_01,ITEM_001,2025-02-03,Weighted Snaive,44.554066130473636
STORE_01,ITEM_001,2025-02-04,Weighted Snaive,35.49776586237712
STORE_01,ITEM_001,2025-02-05,Weighted Snaive,30.959785522788202
STORE_01,ITEM_001,2025-02-06,Weighted Snaive,40.37354781054513
STORE_01,ITEM_001,2025-02-07,Weighted Snaive,42.0
STORE_01,ITEM_001,2025-02-08,Weighted Snaive,35.943699731903486
STORE_01,ITEM_001,2025-02-09,Weighted Snaive,44.85522788203754
STORE_01,ITEM_001,2025-02-10,Weighted Snaive,46.48972296693476
STORE_01,ITEM_001,2025-02-11,Weighted Snaive,46.024128686327074
STORE_01,ITEM_001,2025-02-12,Weighted Snaive,39.309204647006254
STORE_01,ITEM_001,2025-02-13,Weighted Snaive,38.26899016979446
STORE_01,ITEM_001,2025-02-14,Weighted Snaive,41.96782841823056
STORE_01,ITEM_001,2025-02-15,Weighted Snaive,42.268990169794456
STORE_01,ITEM_001,2025-02-16,Weighted Snaive,37.79892761394102
STORE_01,ITEM_001,2025-02-17,Weighted Snaive,44.77479892761394
STORE_01,ITEM_001,2025-02-18,Weighted Snaive,47.586237712243076
STORE_01,ITEM_001,2025-02-19,Weighted Snaive,40.09651474530831
STORE_01,ITEM_001,2025-02-20,Weighted Snaive,43.88739946380697
STORE_01,ITEM_001,2025-02-21,Weighted Snaive,42.29311885612154
STORE_01,ITEM_001,2025-02-22,Weighted Snaive,43.23681858802502
STORE_01,ITEM_001,2025-02-23,Weighted Snaive,44.092046470062556
STORE_01,ITEM_001,2025-02-24,Weighted Snaive,46.15638963360143
STORE_01,ITEM_001,2025-02-25,Weighted Snaive,41.00804289544236
STORE_01,ITEM_001,2025-02-26,Weighted Snaive,41.024128686327074
STORE_01,ITEM_001,2025-02-27,Weighted Snaive,39.8632707774799
STORE_01,ITEM_001,2025-02-28,Weighted Snaive,33.18051831992851
STORE_01,ITEM_001,2025-03-01,Weighted Snaive,41.666666666666664
STORE_01,ITEM_001,2025-03-02,Weighted Snaive,40.85522788203753
STORE_01,ITEM_001,2025-03-03,Weighted Snaive,48.27703306523682
STORE_01,ITEM_001,2025-03-04,Weighted Snaive,47.34941912421805
STORE_01,ITEM_001,2025-03-05,Weighted Snaive,44.54244861483467
STORE_01,ITEM_001,2025-03-06,Weighted Snaive,39.72654155495979
STORE_01,ITEM_001,2025-03-07,Weighted Snaive,44.35746201966041
STORE_01,ITEM_001,2025-03-08,Weighted Snaive,43.79088471849867
STORE_01,ITEM_001,2025-03-09,Weighted Snaive,45.91152815013405
STORE_01,ITEM_001,2025-03-10,Weighted Snaive,53.228775692582666
STORE_01,ITEM_001,2025-03-11,Weighted Snaive,44.731009830205544
STORE_01,ITEM_001,2025-03-12,Weighted Snaive,43.38159070598749
STORE_01,ITEM_001,2025-03-13,Weighted Snaive,41.634495084897225
STORE_01,ITEM_001,2025-03-14,Weighted Snaive,39.513851653261845
STORE_01,ITEM_001,2025-03-15,Weighted Snaive,42.14030384271671
STORE_01,ITEM_001,2025-03-16,Weighted Snaive,43.2207327971403
STORE_01,ITEM_001,2025-03-17,Weighted Snaive,44.59428060768544
STORE_01,ITEM_001,2025-03-18,Weighted Snaive,52.325290437890985
STORE_01,ITEM_001,2025-03-19,Weighted Snaive,38.690795352993746
STORE_01,ITEM_001,2025-03-20,Weighted Snaive,37.437890974084
STORE_01,ITEM_001,2025-03-21,Weighted Snaive,38.96782841823057
STORE_01,ITEM_001,2025-03-22,Weighted Snaive,38.309204647006254
STORE_01,ITEM_001,2025-03-23,Weighted Snaive,46.25290437890974
STORE_01,ITEM_001,2025-03-24,Weighted Snaive,52.65058087578195
STORE_01,ITEM_001,2025-03-25,Weighted Snaive,47.13672922252011
STORE_01,ITEM_001,2025-03-26,Weighted Snaive,46.41376228775692
STORE_01,ITEM_001,2025-03-27,Weighted Snaive,38.301161751563896
STORE_01,ITEM_001,2025-03-28,Weighted Snaive,40.14030384271671
STORE_01,ITEM_001,2025-03-29,Weighted Snaive,41.28507596067918
STORE_01,ITEM_001,2025-03-30,Weighted Snaive,45.28507596067918
STORE_01,ITEM_001,2025-03-31,Weighted Snaive,43.87935656836461
STORE_01,ITEM_001,2025-04-01,Weighted Snaive,52.453976764968715
STORE_01,ITEM_001,2025-04-02,Weighted Snaive,51.70688114387847
STORE_01,ITEM_001,2025-04-03,Weighted Snaive,36.554066130473636
STORE_01,ITEM_001,2025-04-04,Weighted Snaive,44.658623771224306
STORE_01,ITEM_001,2025-04-05,Weighted Snaive,46.365504915102775
STORE_01,ITEM_001,2025-04-06,Weighted Snaive,44.50580875781948
STORE_01,ITEM_001,2025-04-07,Weighted Snaive,53.13226094727436
STORE_01,ITEM_001,2025-04-08,Weighted Snaive,55.731009830205544
STORE_01,ITEM_001,2025-04-09,Weighted Snaive,38.32529043789097
STORE_01,ITEM_001,2025-04-10,Weighted Snaive,40.71492403932082
STORE_01,ITEM_001,2025-04-11,Weighted Snaive,40.228775692582666
STORE_01,ITEM_001,2025-04-12,Weighted Snaive,40.75871313672922
STORE_01,ITEM_001,2025-04-13,Weighted Snaive,49.44146559428061
STORE_01,ITEM_001,2025-04-14,Weighted Snaive,34.90348525469169
STORE_01,ITEM_001,2025-04-15,Weighted Snaive,43.341376228775694
STORE_01,ITEM_001,2025-04-16,Weighted Snaive,46.529937444146555
STORE_01,ITEM_001,2025-04-17,Weighted Snaive,37.698838248436104
STORE_01,ITEM_001,2025-04-18,Weighted Snaive,32.309204647006254
STORE_01,ITEM_001,2025-04-19,Weighted Snaive,39.268990169794456
STORE_01,ITEM_001,2025-04-20,Weighted Snaive,40.53798033958892
STORE_01,ITEM_001,2025-04-21,Weighted Snaive,49.76675603217158
STORE_01,ITEM_001,2025-04-22,Weighted Snaive,49.405719392314566
STORE_01,ITEM_001,2025-04-23,Weighted Snaive,40.650580875781955
STORE_01,ITEM_001,2025-04-24,Weighted Snaive,50.53798033958892
STORE_01,ITEM_001,2025-04-25,Weighted Snaive,44.98391420911528
STORE_01,ITEM_001,2025-04-26,Weighted Snaive,46.919571045576404
STORE_01,ITEM_001,2025-04-27,Weighted Snaive,52.441465594280615
STORE_01,ITEM_001,2025-04-28,Weighted Snaive,50.10813226094728
STORE_01,ITEM_001,2025-04-29,Weighted Snaive,41.73100983020554
STORE_01,ITEM_001,2025-04-30,Weighted Snaive,39.61036639857015
STORE_01,ITEM_001,2025-05-01,Weighted Snaive,36.34941912421805
STORE_01,ITEM_001,2025-05-02,Weighted Snaive,40.91957104557641
STORE_01,ITEM_001,2025-05-03,Weighted Snaive,37.18856121537086
STORE_01,ITEM_001,2025-05-04,Weighted Snaive,45.10813226094727
STORE_01,ITEM_001,2025-05-05,Weighted Snaive,52.50580875781949
STORE_01,ITEM_001,2025-05-06,Weighted Snaive,42.42180518319928
STORE_01,ITEM_001,2025-05-07,Weighted Snaive,47.983914209115284
STORE_01,ITEM_001,2025-05-08,Weighted Snaive,34.38159070598749
STORE_01,ITEM_001,2025-05-09,Weighted Snaive,40.97587131367292
STORE_01,ITEM_001,2025-05-10,Weighted Snaive,40.68275245755138
STORE_01,ITEM_001,2025-05-11,Weighted Snaive,45.21268990169794
STORE_01,ITEM_001,2025-05-12,Weighted Snaive,41.85522788203753
STORE_01,ITEM_001,2025-05-13,Weighted Snaive,42.71492403932082
STORE_01,ITEM_001,2025-05-14,Weighted Snaive,38.437890974084006
STORE_01,ITEM_001,2025-05-15,Weighted Snaive,41.83109919571045
