date,actual,store_id,item_id,lightgbm,xgboost,random_forest
2024-01-02,27,STORE_01,ITEM_001,34.37563015574918,35.926509857177734,35.66
2024-01-03,35,STORE_01,ITEM_001,26.96076210996828,32.009613037109375,31.93
2024-01-04,33,STORE_01,ITEM_001,31.305542138540837,33.913455963134766,32.75
2024-01-05,32,STORE_01,ITEM_001,35.71128465306941,34.896812438964844,38.33
2024-01-06,44,STORE_01,ITEM_001,42.85859858032919,41.47571563720703,38.0
2024-01-07,50,STORE_01,ITEM_001,42.999371100898145,41.313446044921875,40.71
2024-01-08,27,STORE_01,ITEM_001,33.87713833896404,30.093839645385742,37.03
2024-01-09,25,STORE_01,ITEM_001,34.63639822270436,33.07805252075195,33.2
2024-01-10,33,STORE_01,ITEM_001,31.06206981252841,32.1862678527832,29.92
2024-01-11,23,STORE_01,ITEM_001,27.953923650700585,32.742244720458984,31.88
2024-01-12,29,STORE_01,ITEM_001,28.544433267566745,31.455886840820312,32.78
2024-01-13,49,STORE_01,ITEM_001,36.782218138465936,35.066856384277344,38.9
2024-01-14,35,STORE_01,ITEM_001,44.01961137108943,37.75341796875,43.27
2024-01-15,48,STORE_01,ITEM_001,29.542951251568454,29.427583694458008,29.08
2024-01-16,35,STORE_01,ITEM_001,32.9741110045679,35.938602447509766,35.26
2024-01-17,46,STORE_01,ITEM_001,32.520785737819715,34.3328857421875,33.36
2024-01-18,33,STORE_01,ITEM_001,28.821980856736932,30.227739334106445,32.33
2024-01-19,26,STORE_01,ITEM_001,39.464855381359484,38.30957794189453,39.3
2024-01-20,36,STORE_01,ITEM_001,38.056597325618476,37.434715270996094,41.23
2024-01-21,45,STORE_01,ITEM_001,40.9156534146008,40.90134811401367,37.96
2024-01-22,34,STORE_01,ITEM_001,42.27026309950803,38.65137481689453,41.15
2024-01-23,49,STORE_01,ITEM_001,39.751678441470155,35.68780517578125,36.43
2024-01-24,35,STORE_01,ITEM_001,40.78338479140952,39.19660568237305,39.9
2024-01-25,40,STORE_01,ITEM_001,25.727185284661125,28.66438102722168,32.58
2024-01-26,38,STORE_01,ITEM_001,35.55598521125563,38.25813293457031,39.92
2024-01-27,55,STORE_01,ITEM_001,47.11686176061639,44.96498107910156,42.03
2024-01-28,44,STORE_01,ITEM_001,39.35005503846635,38.56986999511719,42.76
2024-01-29,43,STORE_01,ITEM_001,33.38529430681028,34.77012634277344,38.7
2024-01-30,28,STORE_01,ITEM_001,33.281182399135524,34.56440734863281,35.46
2024-01-31,43,STORE_01,ITEM_001,30.00386648029994,34.54916000366211,33.61
2024-02-01,42,STORE_01,ITEM_001,35.0844624943246,34.59294128417969,36.34
2024-02-02,52,STORE_01,ITEM_001,41.95002357921689,40.927406311035156,41.65
2024-02-03,41,STORE_01,ITEM_001,54.22838162558552,45.89316177368164,47.32
2024-02-04,49,STORE_01,ITEM_001,49.67863518546309,42.2492790222168,43.46
2024-02-05,46,STORE_01,ITEM_001,36.71285935083661,33.69240951538086,37.1
2024-02-06,33,STORE_01,ITEM_001,37.711276812216084,37.1555061340332,38.32
2024-02-07,35,STORE_01,ITEM_001,40.872884680285665,37.23683166503906,37.53
2024-02-08,40,STORE_01,ITEM_001,32.238890002823105,33.62158203125,37.19
2024-02-09,38,STORE_01,ITEM_001,38.11940021524875,37.2432861328125,42.98
2024-02-10,56,STORE_01,ITEM_001,44.5994117707918,42.43754577636719,40.82
2024-02-11,58,STORE_01,ITEM_001,37.81258333363188,38.85371017456055,42.56
2024-02-12,42,STORE_01,ITEM_001,37.652652835429244,39.20620346069336,39.85
2024-02-13,40,STORE_01,ITEM_001,34.34522848560741,36.52772521972656,35.71
2024-02-14,40,STORE_01,ITEM_001,30.891838055238825,35.176597595214844,36.05
2024-02-15,44,STORE_01,ITEM_001,38.61579349284827,36.32850646972656,37.15
2024-02-16,43,STORE_01,ITEM_001,43.87716199118303,39.603153228759766,40.89
2024-02-17,50,STORE_01,ITEM_001,47.171833358453306,38.80451965332031,48.16
2024-02-18,60,STORE_01,ITEM_001,42.690436110385754,39.191253662109375,46.05
2024-02-19,56,STORE_01,ITEM_001,36.15733990608256,34.673606872558594,38.64
2024-02-20,33,STORE_01,ITEM_001,33.59605917012239,38.717411041259766,37.75
2024-02-21,49,STORE_01,ITEM_001,38.2077458388011,40.54636001586914,39.25
2024-02-22,46,STORE_01,ITEM_001,38.46233975125025,34.85184860229492,38.79
2024-02-23,47,STORE_01,ITEM_001,44.071132117530915,32.62110137939453,42.59
2024-02-24,65,STORE_01,ITEM_001,56.64551341857021,48.346256256103516,45.4
2024-02-25,53,STORE_01,ITEM_001,48.43714497082194,42.12071228027344,49.28
2024-02-26,43,STORE_01,ITEM_001,43.223165751214715,35.902442932128906,41.22
2024-02-27,39,STORE_01,ITEM_001,36.314864202953835,36.61702346801758,39.12
2024-02-28,51,STORE_01,ITEM_001,31.879276691757884,32.52393341064453,36.89
2024-02-29,47,STORE_01,ITEM_001,44.30511333153671,36.107574462890625,41.55
2024-03-01,35,STORE_01,ITEM_001,43.63492168907729,34.66865158081055,41.3
2024-03-02,47,STORE_01,ITEM_001,52.23771862223359,44.129249572753906,50.95
2024-03-03,49,STORE_01,ITEM_001,37.97904265864947,35.10543441772461,43.52
2024-03-04,49,STORE_01,ITEM_001,36.25333203935363,34.71295166015625,38.77
2024-03-05,34,STORE_01,ITEM_001,37.666383054731284,35.86636734008789,38.36
2024-03-06,58,STORE_01,ITEM_001,31.907172534087884,31.904687881469727,36.76
2024-03-07,40,STORE_01,ITEM_001,36.136281962270154,37.003387451171875,38.94
2024-03-08,51,STORE_01,ITEM_001,43.18964911655696,42.52870178222656,43.25
2024-03-09,49,STORE_01,ITEM_001,48.12038916500147,43.5400276184082,44.73
2024-03-10,49,STORE_01,ITEM_001,43.53354312810584,35.72593307495117,42.48
2024-03-11,38,STORE_01,ITEM_001,44.55370364705263,40.308895111083984,42.89
2024-03-12,50,STORE_01,ITEM_001,38.18597344768013,35.769893646240234,37.57
2024-03-13,38,STORE_01,ITEM_001,38.9653057252976,37.47195053100586,39.34
2024-03-14,50,STORE_01,ITEM_001,34.909728117614065,35.877723693847656,38.53
2024-03-15,56,STORE_01,ITEM_001,35.48699488738392,34.05659484863281,41.42
2024-03-16,51,STORE_01,ITEM_001,40.276403266533116,39.851680755615234,43.86
2024-03-17,45,STORE_01,ITEM_001,48.92459834805709,50.226749420166016,49.58
