store_id,item_id,Intermitent,PLC_Status,Cycle_Classification,Variability_Segment,Volume_Segment,Trend,Seasonal
STORE_01,ITEM_001,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_01,ITEM_002,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_003,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_004,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_005,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_006,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_007,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_01,ITEM_008,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_009,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_01,ITEM_010,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_01,ITEM_011,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_01,ITEM_012,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_013,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_01,ITEM_014,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_015,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_016,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_017,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_018,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_01,ITEM_019,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_020,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_021,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_01,ITEM_022,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_01,ITEM_023,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_01,ITEM_024,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_025,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_026,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_01,ITEM_027,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_01,ITEM_028,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_01,ITEM_029,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_01,ITEM_030,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_01,ITEM_031,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_032,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_01,ITEM_033,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_01,ITEM_034,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_01,ITEM_035,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_036,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_037,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_038,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_039,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_040,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_041,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_01,ITEM_042,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_043,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_044,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_01,ITEM_045,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_01,ITEM_046,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_047,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_048,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_049,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_01,ITEM_050,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_02,ITEM_001,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_02,ITEM_002,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_02,ITEM_003,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_02,ITEM_004,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_02,ITEM_005,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_02,ITEM_006,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_02,ITEM_007,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_02,ITEM_008,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_02,ITEM_009,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_02,ITEM_010,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_02,ITEM_011,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_02,ITEM_012,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_02,ITEM_013,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_02,ITEM_014,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_02,ITEM_015,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_02,ITEM_016,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_02,ITEM_017,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_02,ITEM_018,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_02,ITEM_019,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_02,ITEM_020,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_02,ITEM_021,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_02,ITEM_022,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_02,ITEM_023,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_02,ITEM_024,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_02,ITEM_025,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_02,ITEM_026,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_02,ITEM_027,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_02,ITEM_028,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_02,ITEM_029,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_02,ITEM_030,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_02,ITEM_031,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_02,ITEM_032,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_02,ITEM_033,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_02,ITEM_034,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_02,ITEM_035,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_02,ITEM_036,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_02,ITEM_037,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_02,ITEM_038,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_02,ITEM_039,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_02,ITEM_040,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_02,ITEM_041,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
STORE_02,ITEM_042,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_02,ITEM_043,NO,MATURE,Greater than 2 cycles,Y,A,NO TREND,NO
STORE_02,ITEM_044,NO,MATURE,Greater than 2 cycles,Y,B,NO TREND,NO
