date,actual,store_id,item_id,SES,Moving Average,TES,Weighted Snaive,Growth Snaive,Weighted AOA,sARIMA,STLF,Theta,Simple Snaive
2024-01-02,27,STORE_01,ITEM_001,34.77449310991648,40.0,34.915700070279904,34.93565683646113,43.110283852954865,34.03963928993069,,,,
2024-01-03,35,STORE_01,ITEM_001,34.77449310991648,40.0,35.92630861951716,29.072386058981234,28.362028850628203,34.03963928993069,,,,
2024-01-04,33,STORE_01,ITEM_001,34.77449310991648,40.0,35.66365069981396,29.317247542448616,36.3033969288041,34.03963928993069,,,,
2024-01-05,32,STORE_01,ITEM_001,34.77449310991648,40.0,35.77934431405339,26.602323503127796,32.89995346672871,34.03963928993069,,,,
2024-01-06,44,STORE_01,ITEM_001,34.77449310991648,40.0,34.5800978890978,19.943699731903486,28.362028850628203,34.03963928993069,,,,
2024-01-07,50,STORE_01,ITEM_001,34.77449310991648,40.0,35.27771368854877,28.943699731903486,39.706840390879485,34.03963928993069,,,,
2024-01-08,27,STORE_01,ITEM_001,34.77449310991648,40.0,38.202743918207,32.29311885612154,35.16891577477897,34.03963928993069,,,,
2024-01-09,25,STORE_01,ITEM_001,34.77449310991648,40.0,37.98353814390632,28.951742627345844,29.49651000465333,34.03963928993069,,,,
2024-01-10,33,STORE_01,ITEM_001,34.77449310991648,40.0,37.08283450434372,32.35746201966041,38.57235923685435,34.03963928993069,,,,
2024-01-11,23,STORE_01,ITEM_001,34.77449310991648,40.0,37.7875258001618,30.674709562109022,32.89995346672871,34.03963928993069,,,,
2024-01-12,29,STORE_01,ITEM_001,34.77449310991648,40.0,38.55521933324797,26.755138516532615,29.49651000465333,34.03963928993069,,,,
2024-01-13,49,STORE_01,ITEM_001,34.77449310991648,40.0,39.22103135676805,26.97587131367292,34.03443462075384,34.03963928993069,,,,
2024-01-14,35,STORE_01,ITEM_001,34.77449310991648,40.0,37.72194447344736,29.148346738159066,49.91717077710563,34.03963928993069,,,,
2024-01-15,48,STORE_01,ITEM_001,34.77449310991648,40.0,38.59171673585223,33.16443252904379,48.78268962308051,34.03963928993069,,,,
2024-01-16,35,STORE_01,ITEM_001,34.77449310991648,40.0,39.93014428607916,31.63449508489723,41.97580269892974,34.03963928993069,,,,
2024-01-17,46,STORE_01,ITEM_001,34.77449310991648,40.0,40.04319980479831,34.54602323503128,52.18613308515589,34.03963928993069,,,,
2024-01-18,33,STORE_01,ITEM_001,34.77449310991648,40.0,40.5251637097987,30.602323503127792,39.706840390879485,34.03963928993069,,,,
2024-01-19,26,STORE_01,ITEM_001,34.77449310991648,40.0,41.23068675163376,34.62645218945487,40.84132154490461,34.03963928993069,,,,
2024-01-20,36,STORE_01,ITEM_001,34.77449310991648,40.0,39.89484231102773,28.570151921358352,39.706840390879485,34.03963928993069,,,,
2024-01-21,45,STORE_01,ITEM_001,34.77449310991648,40.0,40.7223494323982,33.16443252904379,52.18613308515589,34.03963928993069,,,,
2024-01-22,34,STORE_01,ITEM_001,34.77449310991648,40.0,41.87700685034769,33.626452189454874,41.97580269892974,34.03963928993069,,,,
2024-01-23,49,STORE_01,ITEM_001,34.77449310991648,40.0,43.70377895527305,45.731009830205544,43.110283852954865,34.03963928993069,,,,
2024-01-24,35,STORE_01,ITEM_001,34.77449310991648,40.0,41.40865188805517,35.02412868632708,38.57235923685435,34.03963928993069,,,,
2024-01-25,40,STORE_01,ITEM_001,34.77449310991648,40.0,42.88966733868948,29.903485254691688,39.706840390879485,34.03963928993069,,,,
2024-01-26,38,STORE_01,ITEM_001,34.77449310991648,40.0,43.40879104753474,30.88739946380697,45.37924616100512,34.03963928993069,,,,
2024-01-27,55,STORE_01,ITEM_001,34.77449310991648,40.0,42.461697541354766,37.92761394101876,44.244765006979996,34.03963928993069,,,,
2024-01-28,44,STORE_01,ITEM_001,34.77449310991648,40.0,42.900207281338474,40.8230563002681,65.79990693345742,34.03963928993069,,,,
2024-01-29,43,STORE_01,ITEM_001,34.77449310991648,40.0,43.7255317986261,42.236818588025024,48.78268962308051,34.03963928993069,,,,
2024-01-30,28,STORE_01,ITEM_001,34.77449310991648,40.0,42.675280550356085,36.61840929401251,41.97580269892974,34.03963928993069,,,,
2024-01-31,43,STORE_01,ITEM_001,34.77449310991648,40.0,44.29708268785389,35.38159070598749,34.03443462075384,34.03963928993069,,,,
2024-02-01,42,STORE_01,ITEM_001,34.77449310991648,40.0,44.101455633739185,30.341376228775694,31.765472312703587,34.03963928993069,,,,
2024-02-02,52,STORE_01,ITEM_001,34.77449310991648,40.0,45.11206418297645,34.35746201966041,36.3033969288041,34.03963928993069,,,,
2024-02-03,41,STORE_01,ITEM_001,34.77449310991648,40.0,44.849406263273245,33.911528150134046,48.78268962308051,34.03963928993069,,,,
2024-02-04,49,STORE_01,ITEM_001,34.77449310991648,40.0,44.96509987751267,38.85522788203753,56.724057701256406,34.03963928993069,,,,
2024-02-05,46,STORE_01,ITEM_001,34.77449310991648,40.0,43.76585345255709,29.602323503127796,40.84132154490461,34.03963928993069,,,,
2024-02-06,33,STORE_01,ITEM_001,34.77449310991648,40.0,44.46346925200806,38.17694369973191,36.3033969288041,34.03963928993069,,,,
2024-02-07,35,STORE_01,ITEM_001,34.77449310991648,40.0,47.38849948166628,43.31724754244862,52.18613308515589,34.03963928993069,,,,
2024-02-08,40,STORE_01,ITEM_001,34.77449310991648,40.0,47.16929370736561,38.879356568364614,52.18613308515589,34.03963928993069,,,,
2024-02-09,38,STORE_01,ITEM_001,34.77449310991648,40.0,46.26859006780301,34.62645218945487,44.244765006979996,34.03963928993069,,,,
2024-02-10,56,STORE_01,ITEM_001,34.77449310991648,40.0,46.97328136362108,38.29311885612154,46.51372731503025,34.03963928993069,,,,
2024-02-11,58,STORE_01,ITEM_001,34.77449310991648,40.0,47.74097489670726,34.47363717605005,52.18613308515589,34.03963928993069,,,,
2024-02-12,42,STORE_01,ITEM_001,34.77449310991648,40.0,48.40678692022734,42.172475424486144,57.85853885528153,34.03963928993069,,,,
2024-02-13,40,STORE_01,ITEM_001,34.77449310991648,40.0,46.90770003690664,37.618409294012515,46.51372731503025,34.03963928993069,,,,
2024-02-14,40,STORE_01,ITEM_001,34.77449310991648,40.0,47.77747229931152,40.016085790884716,48.78268962308051,34.03963928993069,,,,
2024-02-15,44,STORE_01,ITEM_001,34.77449310991648,40.0,49.11589984953845,37.236818588025024,47.648208469055376,34.03963928993069,,,,
2024-02-16,43,STORE_01,ITEM_001,34.77449310991648,40.0,49.228955368257594,40.919571045576404,55.589576547231275,34.03963928993069,,,,
2024-02-17,50,STORE_01,ITEM_001,34.77449310991648,40.0,49.710919273257986,34.67470956210903,44.244765006979996,34.03963928993069,,,,
2024-02-18,60,STORE_01,ITEM_001,34.77449310991648,40.0,50.41644231509305,36.2609472743521,48.78268962308051,34.03963928993069,,,,
2024-02-19,56,STORE_01,ITEM_001,34.77449310991648,40.0,49.08059787448701,40.277033065236814,46.51372731503025,34.03963928993069,,,,
2024-02-20,33,STORE_01,ITEM_001,34.77449310991648,40.0,49.90810499585748,45.048257372654156,47.648208469055376,34.03963928993069,,,,
2024-02-21,49,STORE_01,ITEM_001,34.77449310991648,40.0,51.06276241380698,37.1805183199285,54.45509539320615,34.03963928993069,,,,
2024-02-22,46,STORE_01,ITEM_001,34.77449310991648,40.0,52.88953451873233,38.626452189454874,45.37924616100512,34.03963928993069,,,,
2024-02-23,47,STORE_01,ITEM_001,34.77449310991648,40.0,50.59440745151445,38.88739946380697,54.45509539320615,34.03963928993069,,,,
